2016-11-22 16:10:39,381 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2016-11-22 16:10:39,382 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=10  Total number of states numState=50
2016-11-22 16:10:39,382 [main] INFO  marytts.HTSEngine Total number of frames=245  Number of voiced frames=76
2016-11-22 16:10:39,382 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2016-11-22 16:10:39,382 [main] INFO  marytts.PStream Global variance optimization
2016-11-22 16:10:39,382 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=25
2016-11-22 16:10:39,383 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
2016-11-22 16:10:39,383 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=16
2016-11-22 16:10:39,383 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=34
2016-11-22 16:10:39,384 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=26
2016-11-22 16:10:39,384 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=37
2016-11-22 16:10:39,385 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=15
2016-11-22 16:10:39,385 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=16
2016-11-22 16:10:39,385 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=14
2016-11-22 16:10:39,386 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=13
2016-11-22 16:10:39,386 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=15
2016-11-22 16:10:39,386 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=6
2016-11-22 16:10:39,386 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=7
2016-11-22 16:10:39,387 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=12
2016-11-22 16:10:39,387 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=12
2016-11-22 16:10:39,387 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=8
2016-11-22 16:10:39,388 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=3
2016-11-22 16:10:39,388 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=9
2016-11-22 16:10:39,388 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=2
2016-11-22 16:10:39,388 [main] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=4
2016-11-22 16:10:39,389 [main] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=8
2016-11-22 16:10:39,389 [main] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=15
2016-11-22 16:10:39,390 [main] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=11
2016-11-22 16:10:39,390 [main] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=15
2016-11-22 16:10:39,391 [main] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=8
2016-11-22 16:10:39,391 [main] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2016-11-22 16:10:39,391 [main] INFO  marytts.PStream Global variance optimization
2016-11-22 16:10:39,391 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=9
2016-11-22 16:10:39,392 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=26
2016-11-22 16:10:39,393 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2016-11-22 16:10:39,394 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=101
2016-11-22 16:10:39,394 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=64
2016-11-22 16:10:39,395 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=18
2016-11-22 16:10:39,395 [main] INFO  marytts.R 1 Request processed in 19 ms.
2016-11-22 16:10:39,395 [main] INFO  marytts.R 1    TextToMaryXML took 0 ms
2016-11-22 16:10:39,395 [main] INFO  marytts.R 1    JTokeniser took 0 ms
2016-11-22 16:10:39,395 [main] INFO  marytts.R 1    Preprocess took 0 ms
2016-11-22 16:10:39,395 [main] INFO  marytts.R 1    OpenNLPPosTagger took 1 ms
2016-11-22 16:10:39,395 [main] INFO  marytts.R 1    JPhonemiser took 0 ms
2016-11-22 16:10:39,395 [main] INFO  marytts.R 1    Prosody took 0 ms
